raison,adresse_1,adresses_2,catégorie,produit,quantité,prix unitaire,date
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Afficheur,29,26.28,2020-12-09
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants servant d'interface humaine,LED,14,3.75,2020-12-09
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Composants servant d'interface humaine,Haut-parleur,43,15.14,2020-12-09
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Opto-coupleur,21,31.17,2020-12-09
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants d'électroniques numériques,Quartz,36,16.64,2020-12-09
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants d'électroniques numériques,Quartz,39,16.97,2020-12-09
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Composants d'électroniques numériques,Opto-coupleur,46,34.41,2020-12-09
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Microprocesseur,17,6.38,2020-12-09
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Capteur,Gyroscope,21,10.62,2020-12-09
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques analogiques,Memristor,46,24.43,2020-12-10
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Composants servant d'interface humaine,Potentiomètre,43,8.29,2020-12-10
Lefebvre Top Électricité Pro,917 avenue Nicole Renaud,36285 Gaudin,Composants d'électroniques analogiques,Résistance,34,23.41,2020-12-10
Roger Appolo Électricité Pro,903 rue de Laporte,87927 Martinez,Composants d'électroniques numériques,Quartz,42,17.66,2020-12-10
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,19,13.98,2020-12-10
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants d'électroniques numériques,Quartz,38,17.66,2020-12-10
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants servant d'interface humaine,Interrupteur,21,9.39,2020-12-10
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Capteur,Capteur optique,29,14.79,2020-12-11
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,14,13.98,2020-12-11
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Transistor,50,33.63,2020-12-11
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques numériques,Mémoire informatique,14,23.3,2020-12-11
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Composants servant d'interface humaine,Interrupteur,12,9.21,2020-12-11
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Capteur,Capteur de luminosité,12,13.92,2020-12-11
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants d'électroniques numériques,Microcontrôleur,18,28.62,2020-12-11
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques analogiques,Régulateur de tension,28,30.19,2020-12-11
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,13,15.99,2020-12-11
Sousa Plate-forme Électricité Pièces,18 rue de Carpentier,48607 Collin-les-Bains,Composants servant d'interface humaine,Roue codeuse,47,2.46,2020-12-11
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Composants d'électroniques numériques,Mémoire informatique,38,24.73,2020-12-12
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Microcontrôleur,33,28.06,2020-12-12
Brun Plate-forme Elec Spécialiste,81 boulevard de Meyer,53723 Chauvet,Composants d'électroniques numériques,Quartz,14,16.64,2020-12-12
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Capteur,Microphone,13,12.37,2020-12-12
Pruvost-Guerin Confiance Dépanneur Composants,69 chemin Maryse Verdier,40163 Saint Alain,Composants d'électroniques numériques,Mémoire informatique,17,26.23,2020-12-12
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Capteur,Capteur optique,45,14.79,2020-12-12
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Capteur,Thermistance,22,20.86,2020-12-12
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Gyroscope,31,10.62,2020-12-12
Blin Appolo Elec 2000,47 chemin Didier,39292 Barthelemy,Composants d'électroniques analogiques,Inductance,45,12.29,2020-12-13
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants d'électroniques analogiques,Diode,1,24.02,2020-12-13
Simon Plate-forme Électricité Spécialiste,36 boulevard de Bazin,63061 Sainte AlexVille,Capteur,Capteur de température,39,26.41,2020-12-13
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Gyroscope,43,10.62,2020-12-13
Lelievre Top Elec Pièces,91 rue de Louis,45610 Meunier,Capteur,Capteur de champ magnétique,6,15.28,2020-12-13
Lefebvre Top Électricité Pro,917 avenue Nicole Renaud,36285 Gaudin,Composants d'électroniques numériques,Mémoire informatique,14,25.22,2020-12-13
Gosselin Confiance Électricité Composants,31 chemin de Benard,24506 Gilles,Composants d'électroniques analogiques,Condensateur,11,33.64,2020-12-13
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,16,2.31,2020-12-13
Barthelemy Appolo Dépanneur Pièces,25 avenue Gimenez,95153 CharlesVille,Capteur,Accéléromètre,34,10.93,2020-12-13
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Capteur,Capteur optique,5,14.79,2020-12-14
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants servant d'interface humaine,LED,2,3.61,2020-12-14
Marty Excel Dépanneur ++,12 rue de Rossi,93121 Sainte YvesBourg,Capteur,Capteur de luminosité,39,14.2,2020-12-14
Blondel Excel Électricité ++,85 boulevard de Gay,00378 Saint Paulboeuf,Composants servant d'interface humaine,Buzzer,23,31.83,2020-12-14
Simon Plate-forme Électricité Spécialiste,36 boulevard de Bazin,63061 Sainte AlexVille,Composants servant d'interface humaine,LED,27,3.99,2020-12-14
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Capteur,Gyroscope,35,10.62,2020-12-14
Adam Excel Dépanneur Pièces,50 rue Gomes,76608 Hoareau,Composants servant d'interface humaine,Roue codeuse,46,2.51,2020-12-14
Bouvet Plate-forme Elec Spécialiste,66 avenue Cécile Salmon,05223 Roussel,Composants d'électroniques analogiques,Condensateur,36,33.64,2020-12-14
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques numériques,Mémoire informatique,13,24.25,2020-12-14
Gosselin Giga Dépanneur ++,51 chemin Auguste Martineau,59253 Mercier-sur-Hardy,Composants servant d'interface humaine,Potentiomètre,37,8.29,2020-12-14
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Microprocesseur,43,6.38,2020-12-15
Julien Excel Dépanneur Pièces,5 chemin Alexandrie Valette,55253 Saint Corinne-les-Bains,Composants servant d'interface humaine,LED,49,3.83,2020-12-15
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques numériques,Microprocesseur,16,6.64,2020-12-15
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Composants servant d'interface humaine,Commutateur,41,2.53,2020-12-15
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Diode,19,24.02,2020-12-15
Brunet Top Dépanneur Pro,10 avenue Lucas Bernard,89579 Normand-la-Forêt,Capteur,Capteur de luminosité,7,13.92,2020-12-15
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Quartz,30,15.99,2020-12-15
Jacquot Giga Électricité Pièces,51 rue de Diaz,54288 Saint Agathe-la-Forêt,Composants servant d'interface humaine,Roue codeuse,40,2.46,2020-12-15
Lamy Plate-forme Électricité Pro,12 rue Dijoux,35047 Auger,Composants d'électroniques numériques,Mémoire informatique,14,24.25,2020-12-16
Adam Giga Dépanneur Spécialiste,4 avenue de Joseph,64601 Sainte Marianneboeuf,Composants servant d'interface humaine,Commutateur,14,2.53,2020-12-16
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Mémoire informatique,20,20.69,2020-12-16
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Capteur,Microphone,18,13.13,2020-12-16
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,47,15.99,2020-12-16
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Commutateur,26,2.53,2020-12-16
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants d'électroniques numériques,Microcontrôleur,44,28.62,2020-12-16
Blondel Giga Électricité ++,832 rue Paul Payet,44914 Saint Michelle-sur-Mer,Composants d'électroniques numériques,Mémoire informatique,9,26.23,2020-12-17
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,32,15.99,2020-12-17
Pineau Plate-forme Électricité Plus,72 chemin de Maréchal,57653 Huet-la-Forêt,Composants servant d'interface humaine,LED,24,4.07,2020-12-17
Hamel Appolo Elec 2000,52 avenue de Dupuis,28423 Saint Manonnec,Capteur,Microphone,13,12.37,2020-12-17
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Capteur,Capteur de température,34,26.41,2020-12-17
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Interrupteur,40,9.03,2020-12-17
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Capteur,Accéléromètre,41,11.15,2020-12-17
Leroux Plate-forme Elec Plus,1 rue Brunel,19328 Pelletierdan,Composants d'électroniques numériques,Opto-coupleur,23,34.41,2020-12-17
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,Haut-parleur,39,14.84,2020-12-17
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Composants d'électroniques numériques,Mémoire informatique,6,25.72,2020-12-18
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Microcontrôleur,35,28.06,2020-12-18
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Memristor,36,24.43,2020-12-18
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,38,3.54,2020-12-18
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants d'électroniques numériques,Opto-coupleur,25,34.41,2020-12-18
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants d'électroniques numériques,Microcontrôleur,44,28.62,2020-12-18
Daniel Plate-forme Électricité 2000,18 rue Arthur Fouquet,83230 Lacroixnec,Composants d'électroniques analogiques,Condensateur,44,33.64,2020-12-18
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Composants d'électroniques numériques,Opto-coupleur,27,33.08,2020-12-18
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Capteur,Thermistance,50,21.28,2020-12-18
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Quartz,3,15.99,2020-12-18
Simon Plate-forme Électricité Spécialiste,36 boulevard de Bazin,63061 Sainte AlexVille,Capteur,Microphone,18,13.13,2020-12-18
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Capteur,Caméra,13,26.85,2020-12-19
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques analogiques,Transistor,13,33.63,2020-12-19
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Mémoire informatique,32,21.95,2020-12-19
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Composants servant d'interface humaine,Haut-parleur,13,14.84,2020-12-19
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants d'électroniques numériques,Opto-coupleur,29,34.41,2020-12-19
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Capteur,Capteur optique,30,14.79,2020-12-19
Valentin Confiance Elec Spécialiste,53 avenue Raymond Leconte,74678 Blot,Composants servant d'interface humaine,LED,48,3.61,2020-12-20
Chretien Giga Elec Pro,464 rue de Duval,58242 Saint Noémi,Composants servant d'interface humaine,Buzzer,21,33.78,2020-12-20
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Capteur,Capteur optique,6,14.79,2020-12-20
Maury Top Électricité Spécialiste,88 avenue Arthur Lemaire,95525 Sainte Frédériquenec,Capteur,Capteur de pression,29,12.1,2020-12-20
Julien Excel Dépanneur Composants,2 avenue Adrien Bernier,21172 Lefebvre,Capteur,Gyroscope,33,10.62,2020-12-20
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Capteur,Capteur de champ magnétique,9,15.28,2020-12-20
Leroux Appolo Électricité Composants,83 avenue Lévy,85534 Lefebvre,Composants servant d'interface humaine,Commutateur,11,2.53,2020-12-21
Albert Excel Électricité Spécialiste,49 rue Catherine Bourgeois,70576 Étienne,Composants servant d'interface humaine,Potentiomètre,30,8.29,2020-12-21
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Roue codeuse,39,2.31,2020-12-21
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants d'électroniques numériques,Mémoire informatique,23,22.84,2020-12-21
Pineau Appolo Dépanneur Pièces,15 rue de Bonnet,56641 Pages,Composants servant d'interface humaine,Haut-parleur,50,15.14,2020-12-21
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Capteur,Microphone,16,12.13,2020-12-21
Roger Appolo Elec Spécialiste,1 rue de Guyot,20249 Huetboeuf,Composants d'électroniques analogiques,Photocoupleur,23,10.28,2020-12-21
Leroux Plate-forme Elec Plus,1 rue Brunel,19328 Pelletierdan,Composants d'électroniques analogiques,Condensateur,11,33.64,2020-12-21
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Capteur,Capteur optique,20,14.79,2020-12-21
Mace Appolo Électricité Plus,895 boulevard de Grenier,04254 Sainte Marceldan,Capteur,Thermistance,17,20.86,2020-12-21
Ferrand Excel Elec Spécialiste,91 boulevard Lorraine Rivière,87871 Morin,Composants servant d'interface humaine,LED,4,4.07,2020-12-21
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Commutateur,5,2.53,2020-12-22
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,Haut-parleur,41,14.26,2020-12-22
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,LED,39,3.47,2020-12-22
Lucas Appolo Dépanneur Pro,36 chemin Laure Mace,46414 Chauveau,Capteur,Gyroscope,49,10.62,2020-12-22
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,LED,31,3.54,2020-12-22
Hamel Confiance Électricité Spécialiste,53 chemin de Techer,46919 Charpentier-sur-Blanchet,Capteur,Accéléromètre,30,11.15,2020-12-22
Gosselin Excel Elec Pièces,18 avenue de Langlois,23562 Lévynec,Capteur,Capteur de champ magnétique,4,15.28,2020-12-22
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Commutateur,6,2.53,2020-12-22
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques analogiques,Photocoupleur,11,10.08,2020-12-22
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Capteur de pression,19,12.1,2020-12-22
Dupuis Plate-forme Elec Spécialiste,68 boulevard Lecomte,46550 Voisin,Composants servant d'interface humaine,Commutateur,47,2.58,2020-12-22
Picard Giga Dépanneur 2000,34 rue de Fabre,41752 Saint ArnaudeBourg,Composants servant d'interface humaine,Commutateur,48,2.53,2020-12-23
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,19,2.26,2020-12-23
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Capteur,Capteur de champ magnétique,11,14.98,2020-12-23
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Capteur,Capteur de luminosité,6,13.92,2020-12-23
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants d'électroniques numériques,Opto-coupleur,20,33.08,2020-12-23
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants servant d'interface humaine,LED,42,3.75,2020-12-23
Renard Confiance Électricité Pro,796 rue Garcia,60999 Andre,Composants servant d'interface humaine,Commutateur,45,2.58,2020-12-23
Hubert-Dupuy Top Elec Spécialiste,782 boulevard de Morvan,85518 RousseauVille,Composants d'électroniques analogiques,Résistance,49,22.5,2020-12-23
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants d'électroniques numériques,Quartz,14,16.64,2020-12-23
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Haut-parleur,32,14.26,2020-12-23
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,LED,15,3.61,2020-12-23
Lelievre Top Elec Pièces,91 rue de Louis,45610 Meunier,Composants servant d'interface humaine,LED,42,3.75,2020-12-23
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants d'électroniques numériques,Opto-coupleur,25,30.56,2020-12-23
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques analogiques,Diode,7,24.02,2020-12-24
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants servant d'interface humaine,LED,27,3.61,2020-12-24
Maury Excel Dépanneur Plus,3 chemin Dupuis,41146 Gonzalez,Composants d'électroniques numériques,Microcontrôleur,17,28.62,2020-12-24
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Capteur,Capteur de luminosité,2,14.2,2020-12-24
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Haut-parleur,18,13.98,2020-12-24
Albert Excel Électricité Spécialiste,49 rue Catherine Bourgeois,70576 Étienne,Composants d'électroniques numériques,Quartz,31,17.66,2020-12-24
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Microphone,8,11.66,2020-12-24
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants d'électroniques numériques,Quartz,1,15.99,2020-12-24
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Composants servant d'interface humaine,Haut-parleur,34,14.84,2020-12-25
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants servant d'interface humaine,Buzzer,37,31.83,2020-12-25
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Roue codeuse,37,2.31,2020-12-25
Daniel Appolo Électricité Pro,16 boulevard Turpin,53449 Ferrand,Capteur,Capteur optique,17,14.79,2020-12-25
Sousa Plate-forme Électricité Pièces,18 rue de Carpentier,48607 Collin-les-Bains,Capteur,Capteur de luminosité,41,14.2,2020-12-25
Ramos Confiance Elec 2000,72 chemin André Boulay,97323 Masse,Composants d'électroniques numériques,Microcontrôleur,27,28.06,2020-12-25
Daniel Confiance Électricité Spécialiste,81 avenue Pauline Marchal,16957 Saint Augustin,Composants d'électroniques numériques,Opto-coupleur,34,34.41,2020-12-25
Gosselin Plate-forme Dépanneur 2000,39 rue Noémi Leroux,85849 Charpentier-les-Bains,Composants d'électroniques analogiques,Diode,5,24.02,2020-12-25
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Microprocesseur,5,6.38,2020-12-25
Louis Excel Électricité Pro,21 avenue de Bailly,23268 Leroy-les-Bains,Composants servant d'interface humaine,Commutateur,6,2.53,2020-12-26
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Capteur,Capteur optique,43,14.79,2020-12-26
Lucas Confiance Elec ++,60 avenue Lebrun,95988 BlancVille,Capteur,Thermistance,17,20.86,2020-12-26
Barthelemy Appolo Dépanneur Pièces,782 chemin Adèle Guichard,95153 CharlesVille,Composants d'électroniques numériques,Quartz,49,15.99,2020-12-26
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Capteur,Microphone,26,11.89,2020-12-26
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants servant d'interface humaine,Roue codeuse,33,2.41,2020-12-26
Leroux Confiance Dépanneur 2000,61 rue Julie Millet,80567 Denis,Composants d'électroniques numériques,Quartz,14,17.66,2020-12-26
Alves Top Elec 2000,83 boulevard Chauvet,07499 LévyVille,Composants servant d'interface humaine,Afficheur,12,26.28,2020-12-26
Ledoux Plate-forme Elec Pièces,53 rue de Collet,98471 Pierre,Composants servant d'interface humaine,Potentiomètre,15,7.97,2020-12-27
Costa Excel Électricité Pro,3 rue Gabriel Lévy,39154 Payetdan,Composants d'électroniques numériques,Microcontrôleur,31,28.62,2020-12-27
Valentin Top Dépanneur ++,8 rue de Coste,61910 Bernier,Composants d'électroniques analogiques,Diode,22,24.02,2020-12-27
Guillet Confiance Dépanneur ++,551 rue Arnaude Vallet,10801 Mercier-sur-Mer,Composants servant d'interface humaine,Buzzer,48,31.83,2020-12-27
Valentin Confiance Elec Composants,18 chemin de Guilbert,14737 Roy,Composants servant d'interface humaine,LED,19,3.75,2020-12-27
Pruvost-Guerin Confiance Dépanneur Composants,69 chemin Maryse Verdier,40163 Saint Alain,Composants servant d'interface humaine,Haut-parleur,23,15.14,2020-12-27
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants d'électroniques numériques,Opto-coupleur,36,34.41,2020-12-27
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Capteur,Thermistance,26,20.86,2020-12-28
Joubert Plate-forme Électricité Pièces,68 avenue Mahe,42201 Saint Rémy,Composants d'électroniques numériques,Microcontrôleur,32,28.62,2020-12-28
Leroux Giga Elec Pièces,22 rue de Dijoux,43767 Giraud,Composants d'électroniques analogiques,Condensateur,26,33.64,2020-12-28
Gosselin Giga Dépanneur Pro,22 boulevard Danielle Bonnin,45599 Saint Jacques,Composants d'électroniques numériques,Mémoire informatique,24,25.72,2020-12-28
Pruvost-Guerin Excel Dépanneur Pièces,99 rue Alix Menard,40360 Chevallier,Composants servant d'interface humaine,LED,32,3.75,2020-12-28
Laurent Plate-forme Dépanneur Composants,41 boulevard Roger Benoit,91292 Ribeiro-sur-Mer,Composants d'électroniques numériques,Opto-coupleur,46,31.17,2020-12-28
Wagner Excel Électricité Plus,78 chemin Astrid Moreno,00718 Voisin,Composants servant d'interface humaine,Roue codeuse,14,2.31,2020-12-28
Lecoq Excel Elec Spécialiste,23 rue Suzanne Collet,01068 Richardboeuf,Composants servant d'interface humaine,Commutateur,40,2.53,2020-12-29
Marty Confiance Dépanneur Pro,69 avenue de Da Silva,88501 AdamBourg,Composants d'électroniques analogiques,Diode,39,24.02,2020-12-29
Albert Giga Électricité Pro,500 rue Martel,72022 Berthelot,Composants servant d'interface humaine,Roue codeuse,46,2.41,2020-12-29
Bouvet Top Elec Composants,237 avenue Marguerite Renault,37633 Sainte Alexandriadan,Composants d'électroniques analogiques,Transistor,8,34.3,2020-12-29
Picard Giga Électricité 2000,301 rue Isaac Collet,32668 Reynaud,Capteur,Thermistance,6,20.86,2020-12-29
Boulanger-Lemoine Confiance Elec Plus,94 boulevard Jacques,81623 Rey,Composants d'électroniques analogiques,Résistance,9,22.5,2020-12-29
Sauvage Appolo Électricité 2000,9 rue Pineau,56997 Saint Élisabeth,Composants servant d'interface humaine,Roue codeuse,13,2.31,2020-12-29
Hubert-Dupuy Appolo Dépanneur ++,1 rue Leroy,76903 Guyon-sur-Mallet,Composants servant d'interface humaine,Interrupteur,28,9.39,2020-12-29
